sep=;
Long;Lat
13.0309107;47.7893933
Timestamp;Temperature;Humidity
1483226100;-3;84
1483227900;-3.4;85
1483229700;-3.7;85
1483231500;-4;85
1483233300;-4.5;85
1483235100;-4.7;87
1483236900;-4.7;87
1483238700;-5;86
1483240500;-5.3;86
1483242300;-5.6;85
1483244100;-5.9;87
1483245900;-5.9;87
1483247700;-6.1;86
1483249500;-6.1;87
1483251300;-6.2;87
1483253100;-6.5;86
1483254900;-6.6;86
1483256700;-6.4;88
1483258500;-5.7;89
1483260300;-3.2;92
1483262100;6.4;61
1483263900;9.1;44
1483265700;5;52
1483267500;3.7;56
1483269300;3.8;55
1483271100;4.2;54
1483272900;4.5;53
1483274700;4.9;52
1483276500;5.4;53
1483278300;5.2;58
1483280100;4.7;60
1483281900;4;63
1483283700;3;66
1483285500;1.8;69
1483287300;0.8;71
1483289100;0.1;73
1483290900;0.2;70
1483292700;0;71
1483294500;-0.2;72
1483296300;-0.5;73
1483298100;-0.5;73
1483299900;-0.7;74
1483301700;-1.1;75
1483303500;-1.6;77
1483305300;-1.9;77
1483307100;-2.3;78
1483308900;-2.6;78
1483310700;-2.9;80
1483312500;-2.9;82
1483314300;-3.2;82
1483316100;-3.6;82
1483317900;-3.9;84
1483319700;-3.4;83
1483321500;-2.8;81
1483323300;-2.5;79
1483325100;-2.5;78
1483326900;-2.8;79
1483328700;-2.8;79
1483330500;-2.7;79
1483332300;-2.7;78
1483334100;-2.9;78
1483335900;-3.1;79
1483337700;-3.1;79
1483339500;-3.1;79
1483341300;-3;79
1483343100;-3;79
1483344900;-2.6;79
1483346700;-0.2;76
1483348500;8.2;49
1483350300;9.6;41
1483352100;4;53
1483353900;1.7;63
1483355700;1.2;66
1483357500;1.1;69
1483359300;0.4;73
1483361100;0.1;77
1483362900;0;79
1483364700;0.1;79
1483366500;0;80
1483368300;0;81
1483370100;0.1;81
1483371900;0.1;81
1483373700;0.1;81
1483375500;0.1;83
1483377300;0.2;87
1483379100;0.3;90
1483380900;0.2;92
1483382700;0.2;92
1483384500;0.2;93
1483386300;0.1;94
1483388100;0.1;94
1483389900;0.1;95
1483391700;0.1;95
1483393500;0.1;95
1483395300;0.2;95
1483397100;0.2;95
1483398900;0.2;95
1483400700;0.1;94
1483402500;0.1;92
1483404300;-0;90
1483406100;-0.2;91
1483407900;-0.2;92
1483409700;-0.2;92
1483411500;-0.2;92
1483413300;-0.3;91
1483415100;-0.3;91
1483416900;-0.3;91
1483418700;-0.3;90
1483420500;-0.4;91
1483422300;-0.4;91
1483424100;-0.4;91
1483425900;-0.5;91
1483427700;-0.7;91
1483429500;-0.7;92
1483431300;-0.5;91
1483433100;-0.2;91
1483434900;0.2;90
1483436700;0.6;88
1483438500;1;86
1483440300;1.4;84
1483442100;1.5;82
1483443900;1.8;83
1483445700;2.1;80
1483447500;2.1;77
1483449300;1.8;76
1483451100;1.7;76
1483452900;1.7;76
1483454700;1.3;77
1483456500;0.8;79
1483458300;0.2;81
1483460100;-0;83
1483461900;-0.5;82
1483463700;-1.1;84
1483465500;-1.7;85
1483467300;-2.2;86
1483469100;-2.4;87
1483470900;-2.5;88
1483472700;-2.5;89
1483474500;-2.4;91
1483476300;-2.1;90
1483478100;-1.7;86
1483479900;-1.6;85
1483481700;-1.5;84
1483483500;-1.4;83
1483485300;-1.4;83
1483487100;-1.3;82
1483488900;-1.3;81
1483490700;-1.2;81
1483492500;-1.2;80
1483494300;-1.1;81
1483496100;-1;81
1483497900;-0.9;81
1483499700;-0.9;81
1483501500;-0.9;81
1483503300;-0.9;81
1483505100;-0.8;81
1483506900;-0.7;81
1483508700;-0.7;81
1483510500;-0.6;81
1483512300;-0.7;82
1483514100;-0.6;83
1483515900;-0.5;83
1483517700;-0.3;84
1483519500;-0.2;85
1483521300;-0.1;87
1483523100;-0.1;89
1483524900;0;91
1483526700;0.1;92
1483528500;0.6;93
1483530300;1.7;88
1483532100;2;87
1483533900;1.9;88
1483535700;1.8;89
1483537500;1.9;89
1483539300;2.1;86
1483541100;1.9;88
1483542900;1.6;90
1483544700;1.4;91
1483546500;1.4;92
1483548300;1.6;87
1483550100;1.7;86
1483551900;1.7;85
1483553700;1.4;89
1483555500;1.4;87
1483557300;1.5;85
1483559100;1.6;81
1483560900;1.7;79
1483562700;1.6;81
1483564500;1;87
1483566300;0.7;90
1483568100;0.6;93
1483569900;0.6;92
1483571700;0.8;90
1483573500;0.8;89
1483575300;0.8;90
1483577100;0.8;88
1483578900;0.8;87
1483580700;0.6;85
1483582500;0.7;84
1483584300;0.7;84
1483586100;0.2;89
1483587900;-0.9;94
1483589700;-1.3;94
1483591500;-1.6;93
1483593300;-2;87
1483595100;-2.2;85
1483596900;-2.2;84
1483598700;-2.1;83
1483600500;-2.2;82
1483602300;-2.6;87
1483604100;-2.6;88
1483605900;-2.8;90
1483607700;-2.7;91
1483609500;-2.6;89
1483611300;-2.4;85
1483613100;-2.3;83
1483614900;-2.1;81
1483616700;-2;81
1483618500;-2.1;84
1483620300;-2.1;87
1483622100;-2.1;88
1483623900;-2.2;88
1483625700;-2.4;89
1483627500;-2.6;90
1483629300;-2.7;90
1483631100;-2.7;90
1483632900;-2.7;90
1483634700;-2.7;90
1483636500;-2.8;91
1483638300;-2.8;90
1483640100;-3.2;89
1483641900;-3.4;89
1483643700;-3.5;90
1483645500;-3.5;91
1483647300;-3.7;92
1483649100;-3.8;91
1483650900;-3.8;91
1483652700;-3.8;90
1483654500;-3.9;89
1483656300;-4.1;89
1483658100;-4.2;90
1483659900;-4.5;89
1483661700;-4.7;88
1483663500;-5;86
1483665300;-5.3;85
1483667100;-5.6;84
1483668900;-6;83
1483670700;-6.5;83
1483672500;-7;83
1483674300;-7.4;83
1483676100;-7.6;83
1483677900;-7.9;83
1483679700;-8.3;83
1483681500;-8.4;84
1483683300;-8.4;84
1483685100;-8.5;84
1483686900;-8.9;83
1483688700;-9.1;84
1483690500;-8.8;85
1483692300;-8.3;84
1483694100;-5.4;81
1483695900;-1.7;62
1483697700;-4.5;66
1483699500;-5.4;71
1483701300;-5.6;73
1483703100;-5.8;73
1483704900;-5.9;73
1483706700;-5.7;74
1483708500;-5.4;73
1483710300;-5;72
1483712100;-5.2;71
1483713900;-5.8;72
1483715700;-6.4;73
1483717500;-7;76
1483719300;-7.5;78
1483721100;-8.2;79
1483722900;-8.5;81
1483724700;-8.6;82
1483726500;-9;82
1483728300;-9.5;83
1483730100;-9.9;83
1483771500;-13.7;82
1483773300;-13.6;82
1483775100;-13.4;81
1483875900;10.3;70
1483877700;2.7;71
1483879500;0.1;83
1483881300;-0.6;88
1483883100;-0.9;91
1483884900;-0.9;91
1483886700;-0.9;93
1483888500;-0.9;92
1483890300;-1;93
1483892100;-1.1;94
1483893900;-1.1;95
1483895700;-1;95
1483897500;-0.7;95
1483899300;-0.7;94
1483901100;-0.9;95
1483902900;-0.9;95
1483904700;-1.1;95
1483906500;-1.1;95
1483908300;-1;96
1483910100;-0.8;96
1483911900;-0.7;96
1483913700;-0.8;96
1483915500;-0.8;96
1483917300;-0.8;96
1483919100;-0.9;95
1483920900;-0.9;96
1483922700;-0.7;97
1483924500;-0.6;97
1483926300;-0.6;97
1483928100;-0.6;96
1483929900;-0.6;95
1483931700;-0.6;95
1483933500;-0.6;95
1483935300;-0.6;94
1483937100;-0.7;94
1483938900;-0.7;94
1483940700;-0.8;95
1483942500;-0.9;95
1483944300;-0.9;96
1483946100;-0.8;96
1483947900;-0.8;95
1483949700;-0.7;95
1483951500;-0.6;94
1483953300;-0.5;93
1483955100;-0.3;93
1483956900;-0.2;92
1483958700;0.1;91
1483960500;0.4;89
1483962300;0.4;88
1483964100;0.4;88
1483965900;0.3;88
1483967700;0.3;88
1483969500;0.2;88
1483971300;0.2;88
1483973100;0.2;88
1483974900;0;89
1483976700;-0.1;89
1483978500;-0.3;90
1483980300;-0.4;91
1483982100;-0.4;91
1483983900;-0.6;92
1483985700;-0.6;93
1483987500;-0.7;93
1483989300;-0.8;93
1483991100;-0.9;93
1483992900;-1.1;94
1483994700;-1.1;94
1483996500;-1.2;94
1483998300;-1.3;94
1484000100;-1.4;94
1484001900;-1.4;95
1484003700;-1.4;95
1484005500;-1.4;95
1484007300;-1.5;94
1484009100;-1.6;94
1484010900;-1.7;94
1484012700;-1.7;93
1484014500;-1.7;93
1484016300;-1.8;93
1484018100;-1.8;94
1484019900;-1.9;93
1484021700;-2;93
1484023500;-2.4;91
1484025300;-3.1;90
1484027100;-3.9;89
1484028900;-4.7;88
1484030700;-5.6;88
1484032500;-6;89
1484034300;-6.3;89
1484036100;-6.2;91
1484037900;-4.5;94
1484039700;2.8;67
1484041500;5.2;55
1484043300;2.2;60
1484045100;0.1;68
1484046900;-0.7;72
1484048700;-0.9;74
1484050500;-0.8;75
1484052300;-0.5;75
1484054100;-0.2;75
1484055900;-0.3;76
1484057700;-0.5;77
1484059500;-0.9;78
1484061300;-1.5;80
1484063100;-2.4;81
1484064900;-3.1;82
1484066700;-4;82
1484068500;-4.7;83
1484070300;-5.1;85
1484072100;-5.3;86
1484073900;-5.5;87
1484075700;-5.5;87
1484077500;-5.5;88
1484079300;-5.2;89
1484081100;-5;89
1484082900;-4.8;89
1484084700;-4.7;89
1484086500;-4.6;88
1484088300;-4.5;89
1484090100;-4.5;88
1484091900;-4.6;88
1484093700;-4.5;89
1484095500;-4.5;90
1484097300;-4.3;91
1484099100;-4.2;92
1484100900;-4.1;92
1484102700;-4.2;92
1484104500;-4.3;92
1484106300;-4.4;92
1484108100;-4.4;92
1484109900;-4.4;92
1484111700;-4.3;93
1484113500;-4.2;93
1484115300;-4.2;92
1484117100;-4.2;93
1484118900;-4.3;92
1484120700;-4.1;93
1484122500;-3.9;92
1484124300;-3.4;91
1484126100;-2.8;88
1484127900;-2.3;86
1484129700;-2;84
1484131500;-1.8;83
1484133300;-1.5;82
1484135100;-1;80
1484136900;-0.4;78
1484138700;-0.1;77
1484140500;0;76
1484142300;0;76
1484144100;0;75
1484145900;0.2;75
1484147700;-0.1;76
1484149500;-0.3;77
1484151300;-0.5;77
1484153100;-0.5;78
1484154900;-0.5;78
1484156700;-0.4;78
1484158500;-0.2;78
1484160300;-0.2;82
1484162100;-0.3;87
1484163900;-0.3;91
1484165700;-0.2;93
1484167500;-0.1;92
1484169300;-0.1;92
1484171100;0.3;96
1484172900;2.4;95
1484174700;3.5;89
1484176500;3.6;89
1484178300;3.3;90
1484180100;3.2;90
1484181900;2.9;92
1484183700;2.6;94
1484185500;2.2;93
1484187300;1.8;95
1484189100;1.7;96
1484190900;1.6;96
1484192700;2;96
1484194500;2.3;94
1484196300;2.4;94
1484198100;2.4;93
1484199900;2.4;93
1484201700;2.4;92
1484203500;2.3;93
1484205300;2.4;92
1484207100;2.5;91
1484208900;2.3;93
1484210700;2.2;95
1484212500;2.3;96
1484214300;2.7;97
1484216100;3.2;96
1484217900;3.6;96
1484219700;4.2;94
1484221500;4.5;92
1484223300;4.7;88
1484225100;4.1;89
1484226900;4.1;90
1484228700;3.9;90
1484230500;3.5;93
1484232300;3.2;94
1484234100;3;94
1484235900;2.7;95
1484237700;2.6;96
1484239500;2.5;96
1484241300;2.3;96
1484243100;2.2;96
1484244900;2.1;97
1484246700;2.1;97
1484248500;2;96
1484250300;1.9;97
1484252100;2;97
1484253900;1.9;96
1484255700;1.8;96
1484257500;1.9;96
1484259300;1.9;96
1484261100;1.9;96
1484262900;1.8;96
1484264700;1.8;96
1484266500;1.8;96
1484268300;1.7;96
1484270100;1.6;98
1484271900;1.8;97
1484273700;2.4;93
1484275500;2.4;92
1484277300;2.6;92
1484279100;2.7;94
1484280900;3.1;92
1484282700;4;84
1484284500;4;84
1484286300;3.4;88
1484288100;3.2;87
1484289900;3.3;82
1484291700;3.7;76
1484293500;3.9;72
1484295300;3.8;70
1484297100;3.9;64
1484298900;3.9;61
1484300700;3.7;60
1484302500;3.8;58
1484304300;3.9;53
1484306100;3.6;54
1484307900;3.4;54
1484309700;3.2;55
1484311500;3.2;55
1484313300;3.1;54
1484315100;2.9;56
1484316900;2.7;56
1484318700;2.5;57
1484320500;2.3;59
1484322300;2;59
1484324100;1.9;60
1484325900;1.6;63
1484327700;0.8;76
1484329500;0.2;82
1484331300;0.1;83
1484333100;0.1;83
1484334900;0;84
1484336700;0;86
1484338500;-0.1;86
1484340300;0;85
1484342100;0;85
1484343900;0;84
1484345700;0.1;80
1484347500;0.2;75
1484349300;0.4;74
1484351100;0.4;75
1484352900;-0.3;83
1484354700;-0.6;84
1484356500;-0.7;84
1484358300;-0.8;83
1484360100;-1.1;83
1484361900;-1.3;83
1484363700;-1.4;83
1484365500;-1.2;83
1484367300;-0.9;82
1484369100;-0.9;80
1484370900;-0.9;80
1484372700;-0.8;80
1484374500;-0.6;80
1484376300;-0.6;83
1484378100;-0.9;86
1484379900;-1.1;87
1484381700;-1.1;88
1484383500;-1.1;89
1484385300;-1.1;90
1484387100;-0.9;91
1484388900;0.1;92
1484390700;0.6;90
1484392500;0.8;91
1484394300;0.8;92
1484396100;0.5;94
1484397900;0.5;93
1484399700;0.7;92
1484401500;0.9;85
1484403300;0.9;84
1484405100;1;81
1484406900;1.1;78
1484408700;1;77
1484410500;0.8;78
1484412300;0.3;79
1484414100;0.3;77
1484415900;0.5;75
1484417700;0.5;74
1484419500;0.4;78
1484421300;-0.3;88
1484423100;-0.3;87
1484424900;-0.3;85
1484426700;-0.2;83
1484428500;-0.3;84
1484430300;-0.3;85
1484432100;-0.6;86
1484433900;-0.7;87
1484435700;-0.6;85
1484437500;-0.6;87
1484439300;-0.7;88
1484441100;-1;88
1484442900;-1.3;89
1484444700;-1.4;90
1484446500;-1.5;91
1484448300;-1.5;91
1484450100;-1.4;91
1484451900;-1.3;89
1484453700;-1.3;89
1484455500;-1.3;90
1484457300;-1.3;90
1484459100;-1.4;90
1484460900;-1.5;90
1484462700;-1.7;89
1484464500;-1.7;90
1484466300;-1.5;90
1484468100;-1.2;90
1484469900;-1;90
1484471700;-0.7;88
